id,metadataid,satelliteid,sensorid,productid,imagingmode,sceneid,productlevel,cloudpercent,scenetime,strip,orbit,imagegsd,dataarchivedir,geom,satellitetype,sublevel,browsefilelocation,thumbfilelocation,satellite_sensor,stationlongi1,stationlati1,stationheigh1,starttime,endtime,rollsatelliteangle,pitchsatelliteangle,productname,bandsid,datasetid,orbitaccuracy,subsensorlist,areaname
057704b4-9ee9-4e9d-95f3-1525ca9b872c,GF1B-PMS-LEVEL1A-1228001469,GF1B,PMS,1228001469,,650124,1,30,2021-07-07,128537,17618,0.0,/ARCHIVE/GF1B/Product/LEVEL1A/PMS/20210707/GF1B_PMS_E109.5_N29.7_20210707_L1A1228001469.tar.gz,"POLYGON((109.253396 30.024948,109.925915 29.895862,109.773933 29.301565,109.105324 29.430302,109.253396 30.024948))",GX,LEVEL1A,/ARCHIVE/GF1B/Product/LEVEL1A/PMS/20210707/GF1B_PMS_E109.5_N29.7_20210707_L1A1228001469.jpg,/ARCHIVE/GF1B/Product/LEVEL1A/PMS/20210707/GF1B_PMS_E109.5_N29.7_20210707_L1A1228001469_thumb.jpg,GF1B_PMS,,,,2021-07-07T03:44:33.000+0000,2021-07-07T03:44:43.000+0000,0.046379,-0.046723,,,,,,
d3fdfb39-479d-7322-6f21-66c1b4cbf7f8,GF1B-PMS-LEVEL1A-1228001444,GF1B,PMS,1228001444,,650125,1,12,2021-07-07,128537,17618,0.0,/ARCHIVE/GF1B/Product/LEVEL1A/PMS/20210707/GF1B_PMS_E109.4_N29.1_20210707_L1A1228001444.tar.gz,"POLYGON((109.114435 29.467529,109.783525 29.338725,109.632792 28.744165,108.967508 28.872636,109.114435 29.467529))",GX,LEVEL1A,/ARCHIVE/GF1B/Product/LEVEL1A/PMS/20210707/GF1B_PMS_E109.4_N29.1_20210707_L1A1228001444.jpg,/ARCHIVE/GF1B/Product/LEVEL1A/PMS/20210707/GF1B_PMS_E109.4_N29.1_20210707_L1A1228001444_thumb.jpg,GF1B_PMS,,,,2021-07-07T03:44:43.000+0000,2021-07-07T03:44:52.000+0000,0.046591,-0.046179,,,,,,
e75c12da-9a9c-92cc-4f95-4037b50dd22f,GF1B-PMS-LEVEL1A-1228001461,GF1B,PMS,1228001461,,650126,1,5,2021-07-07,128537,17618,0.0,/ARCHIVE/GF1B/Product/LEVEL1A/PMS/20210707/GF1B_PMS_E109.2_N28.5_20210707_L1A1228001461.tar.gz,"POLYGON((108.976731 28.910147,109.642253 28.781656,109.492714 28.187069,108.83089 28.315233,108.976731 28.910147))",GX,LEVEL1A,/ARCHIVE/GF1B/Product/LEVEL1A/PMS/20210707/GF1B_PMS_E109.2_N28.5_20210707_L1A1228001461.jpg,/ARCHIVE/GF1B/Product/LEVEL1A/PMS/20210707/GF1B_PMS_E109.2_N28.5_20210707_L1A1228001461_thumb.jpg,GF1B_PMS,,,,2021-07-07T03:44:52.000+0000,2021-07-07T03:45:01.000+0000,0.046545,-0.045563,,,,,,
32b55295-5f24-8203-fc11-522292256365,GF1B-PMS-LEVEL1A-1227999825,GF1B,PMS,1227999825,,648483,1,34,2021-07-03,128481,17559,0.0,/ARCHIVE/GF1B/Product/LEVEL1A/PMS/20210703/GF1B_PMS_E108.8_N31.3_20210703_L1A1227999825.tar.gz,"POLYGON((108.529067 31.669342,109.218447 31.542142,109.06606 30.948118,108.38098 31.074994,108.529067 31.669342))",GX,LEVEL1A,/ARCHIVE/GF1B/Product/LEVEL1A/PMS/20210703/GF1B_PMS_E108.8_N31.3_20210703_L1A1227999825.jpg,/ARCHIVE/GF1B/Product/LEVEL1A/PMS/20210703/GF1B_PMS_E108.8_N31.3_20210703_L1A1227999825_thumb.jpg,GF1B_PMS,,,,2021-07-03T03:46:33.000+0000,2021-07-03T03:46:42.000+0000,-4.453671,-0.050051,,,,,,
470c4d52-ff7e-e3b0-1301-90d27b19b4c6,GF1B-PMS-LEVEL1A-1227999819,GF1B,PMS,1227999819,,648482,1,11,2021-07-03,128481,17559,0.0,/ARCHIVE/GF1B/Product/LEVEL1A/PMS/20210703/GF1B_PMS_E108.9_N31.9_20210703_L1A1227999819.tar.gz,"POLYGON((108.669617 32.226223,109.362682 32.098788,109.208964 31.504859,108.520314 31.631957,108.669617 32.226223))",GX,LEVEL1A,/ARCHIVE/GF1B/Product/LEVEL1A/PMS/20210703/GF1B_PMS_E108.9_N31.9_20210703_L1A1227999819.jpg,/ARCHIVE/GF1B/Product/LEVEL1A/PMS/20210703/GF1B_PMS_E108.9_N31.9_20210703_L1A1227999819_thumb.jpg,GF1B_PMS,,,,2021-07-03T03:46:24.000+0000,2021-07-03T03:46:33.000+0000,-4.453303,-0.050305,,,,,,
9e4fcd32-fcb2-48d2-eec9-4c12de8e2283,GF1B-PMS-LEVEL1A-1228000557,GF1B,PMS,1228000557,,648481,1,26,2021-07-03,128481,17559,0.0,/ARCHIVE/GF1B/Product/LEVEL1A/PMS/20210703/GF1B_PMS_E109.1_N32.4_20210703_L1A1228000557.tar.gz,"POLYGON((108.81106 32.783053,109.508123 32.655338,109.352996 32.061222,108.660472 32.188589,108.81106 32.783053))",GX,LEVEL1A,/ARCHIVE/GF1B/Product/LEVEL1A/PMS/20210703/GF1B_PMS_E109.1_N32.4_20210703_L1A1228000557.jpg,/ARCHIVE/GF1B/Product/LEVEL1A/PMS/20210703/GF1B_PMS_E109.1_N32.4_20210703_L1A1228000557_thumb.jpg,GF1B_PMS,,,,2021-07-03T03:46:14.000+0000,2021-07-03T03:46:24.000+0000,-4.452969,-0.050248,,,,,,
0df37832-46fa-5535-9cd4-97020b05e343,GF1B-PMS-LEVEL1A-1227996335,GF1B,PMS,1227996335,,645040,1,25,2021-06-25,128375,17441,0.0,/ARCHIVE/GF1B/Product/LEVEL1A/PMS/20210625/GF1B_PMS_E107.6_N29.1_20210625_L1A1227996335.tar.gz,"POLYGON((107.342087 29.466794,108.009062 29.338404,107.858827 28.745782,107.195643 28.87384,107.342087 29.466794))",GX,LEVEL1A,/ARCHIVE/GF1B/Product/LEVEL1A/PMS/20210625/GF1B_PMS_E107.6_N29.1_20210625_L1A1227996335.jpg,/ARCHIVE/GF1B/Product/LEVEL1A/PMS/20210625/GF1B_PMS_E107.6_N29.1_20210625_L1A1227996335_thumb.jpg,GF1B_PMS,,,,2021-06-25T03:51:57.000+0000,2021-06-25T03:52:07.000+0000,0.046569,-0.041797,,,,,,
73ddafab-49e0-4c19-8394-fd96e6e24ba7,GF1B-PMS-LEVEL1A-1227996360,GF1B,PMS,1227996360,,645038,1,31,2021-06-25,128375,17441,0.0,/ARCHIVE/GF1B/Product/LEVEL1A/PMS/20210625/GF1B_PMS_E107.9_N30.2_20210625_L1A1227996360.tar.gz,"POLYGON((107.620774 30.581821,108.295352 30.452728,108.142447 29.859688,107.471882 29.988416,107.620774 30.581821))",GX,LEVEL1A,/ARCHIVE/GF1B/Product/LEVEL1A/PMS/20210625/GF1B_PMS_E107.9_N30.2_20210625_L1A1227996360.jpg,/ARCHIVE/GF1B/Product/LEVEL1A/PMS/20210625/GF1B_PMS_E107.9_N30.2_20210625_L1A1227996360_thumb.jpg,GF1B_PMS,,,,2021-06-25T03:51:39.000+0000,2021-06-25T03:51:49.000+0000,0.046732,-0.041573,,,,,,
b54bceb0-bf66-aeb5-5759-25863fae1bf5,GF1B-PMS-LEVEL1A-1227996337,GF1B,PMS,1227996337,,645039,1,26,2021-06-25,128375,17441,0.0,/ARCHIVE/GF1B/Product/LEVEL1A/PMS/20210625/GF1B_PMS_E107.7_N29.7_20210625_L1A1227996337.tar.gz,"POLYGON((107.480781 30.024043,108.151591 29.895291,108.000258 29.303517,107.333341 29.43192,107.480781 30.024043))",GX,LEVEL1A,/ARCHIVE/GF1B/Product/LEVEL1A/PMS/20210625/GF1B_PMS_E107.7_N29.7_20210625_L1A1227996337.jpg,/ARCHIVE/GF1B/Product/LEVEL1A/PMS/20210625/GF1B_PMS_E107.7_N29.7_20210625_L1A1227996337_thumb.jpg,GF1B_PMS,,,,2021-06-25T03:51:48.000+0000,2021-06-25T03:51:58.000+0000,0.046632,-0.041802,,,,,,
051624fb-e68e-bf55-1e58-32ed58f30869,GF1B-PMS-LEVEL1A-1227995035,GF1B,PMS,1227995035,,643740,1,11,2021-06-21,128334,17382,0.0,/ARCHIVE/GF1B/Product/LEVEL1A/PMS/20210621/GF1B_PMS_E107.9_N32.4_20210621_L1A1227995035.tar.gz,"POLYGON((107.592641 32.809378,108.282693 32.678945,108.124408 32.087555,107.438828 32.217572,107.592641 32.809378))",GX,LEVEL1A,/ARCHIVE/GF1B/Product/LEVEL1A/PMS/20210621/GF1B_PMS_E107.9_N32.4_20210621_L1A1227995035.jpg,/ARCHIVE/GF1B/Product/LEVEL1A/PMS/20210621/GF1B_PMS_E107.9_N32.4_20210621_L1A1227995035_thumb.jpg,GF1B_PMS,,,,2021-06-21T03:53:29.000+0000,2021-06-21T03:53:39.000+0000,0.046202,-0.036526,,,,,,
